School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over
Bacchus Marsh Grammar,,BACCHUS MARSH,45,4,,,,469,76,88,100,15,13,100,-,32,13.9
Ballarat Grammar,,WENDOUREE,55,20,,,,413,132,81,100,13,14,100,I/D,32,11.7
Balwyn High School,,BALWYN NORTH,62,12,,,,608,26,92,100,< 4,42,78,I/D,32,14.7
Box Hill High School,,BOX HILL,53,26,,,,406,57,89,98,10,17,87,I/D,32,11.8
Braemar College,,WOODEND,46,9,,,,204,50,83,99,-,8,90,-,32,7.2
Canterbury Girls Sec College,,CANTERBURY,47,9,,,,230,15,85,99,-,16,96,88,32,11.7
Catholic Ladies College,,ELTHAM,52,24,,,,207,114,92,100,6,5,94,-,32,11.0
Doncaster Secondary College,,DONCASTER,59,32,,,,263,95,74,98,7,17,97,75,32,13.0
Dromana Secondary College,,DROMANA,56,40,,,,390,272,58,100,53,4,100,80,32,8.7
East Doncaster Sec College,,DONCASTER EAST,60,29,Y,,,355,67,94,99,4,22,75,-,32,12.9
Geelong Grammar School,,CORIO,45,10,,Y,,242,44,85,99,6,9,99,94,32,8.7
Haileybury - Pangea Campus,,KEYSBOROUGH,22,1,,,,54,< 4,83,100,-,< 4,I/D,100,32,18.4
Ilim College,*,DOVETON,7,-,,,,12,-,100,100,-,-,-,-,32,3.6
Kardinia Internatl College,,BELL POST HILL,50,22,,Y,,330,61,89,100,-,19,100,100,32,12.6
Kilbreda College,,MENTONE,47,24,,,,211,88,82,100,21,< 4,94,-,32,10.3
Kingswood College,,BOX HILL,42,16,,,,108,62,92,100,-,7,88,-,32,11.8
Koonung Secondary College,,MONT ALBERT NORTH,58,30,Y,,,261,69,84,97,12,23,84,I/D,32,9.8
Luther College,,CROYDON HILLS,50,27,,,,262,48,87,100,-,11,99,I/D,32,10.8
Melbourne Girls' College,,RICHMOND,65,16,,,,400,29,95,100,8,23,89,I/D,32,10.6
Mentone Girls' Sec College,,MENTONE,57,20,,,,251,46,88,100,-,7,92,-,32,12.1
Our Lady of Mercy College,,HEIDELBERG,59,26,,,,280,135,93,99,8,10,91,I/D,32,9.6
Our Lady of Sacred Heart Coll,,BENTLEIGH,50,17,Y,,,195,112,80,98,9,< 4,97,I/D,32,10.1
Our Lady of Sion College,,BOX HILL,44,18,Y,,,218,66,93,100,7,11,96,I/D,32,7.8
Princes Hill Sec College,,PRINCES HILL,54,19,,,,182,41,92,98,4,7,89,-,32,11.0
Sacred Heart Girls' College,,HUGHESDALE,56,18,,,,206,50,94,99,10,9,96,-,32,10.6
Salesian College,,CHADSTONE,48,22,Y,,,234,91,84,100,18,5,86,-,32,11.7
St Joseph's College,,FERNTREE GULLY,45,23,,,,237,251,62,100,42,4,83,I/D,32,8.8
Vermont Secondary College,,VERMONT,70,38,Y,,,398,89,78,100,12,21,67,I/D,32,9.8
Wesley College,,MELBOURNE,34,5,,Y,,178,16,99,100,-,9,95,-,32,8.9
Al Siraat College,,EPPING,20,7,,,,106,118,98,98,-,-,99,I/D,31,6.8
Albert Park College,,ALBERT PARK,61,17,Y,Y,,423,49,84,99,7,10,75,-,31,9.0
Ashwood High School,,ASHWOOD,47,22,,,,165,44,72,99,18,6,79,I/D,31,8.1
Auburn High School,,HAWTHORN EAST,29,8,,Y,,177,12,86,99,-,11,94,-,31,8.6
Ave Maria College,,ABERFELDIE,40,15,,,,173,71,98,100,10,4,98,-,31,10.5
Beaconhills College,,BERWICK,34,5,,,,209,191,83,100,-,16,99,-,31,7.9
Berwick Grammar School,,OFFICER,27,4,,,,39,< 4,90,100,-,< 4,I/D,-,31,9.2
Billanook College,,MOOROOLBARK,44,15,,,,181,53,93,100,-,5,99,I/D,31,7.0
Birchip P-12 School,,BIRCHIP,23,11,Y,,,39,29,53,100,5,-,100,-,31,10.4
Blackburn High School,,BLACKBURN,67,31,,,,284,87,78,100,17,11,84,I/D,31,8.1
Braybrook College,,BRAYBROOK,42,14,,,,296,323,83,98,42,16,93,-,31,8.1
Caroline Chisholm Catholic Coll,,BRAYBROOK,67,36,,,,308,244,78,99,37,7,82,-,31,5.5
Chairo Christian School,,DROUIN,39,21,,,,80,29,65,98,5,< 4,99,-,31,4.8
Corryong College,,CORRYONG,28,14,Y,,,32,41,27,100,11,-,73,I/D,31,5.6
Darul Ulum College of Victoria,,FAWKNER,17,1,,,,148,65,59,100,-,-,100,-,31,7.3
Elisabeth Murdoch College,,LANGWARRIN,86,59,Y,,,377,504,40,100,76,-,88,100,31,10.8
Eltham College,,RESEARCH,42,15,,,,124,91,92,100,-,< 4,99,I/D,31,9.0
Elwood College,,ELWOOD,55,20,Y,,,193,35,70,99,< 4,8,88,100,31,9.3
Emmaus College,,VERMONT SOUTH,61,40,,,,308,226,73,100,28,6,84,I/D,31,9.8
Frankston High School,,FRANKSTON,80,35,Y,,,490,212,69,99,16,14,84,I/D,31,9.6
Gippsland Grammar,,SALE,42,15,,,,140,69,78,99,-,5,95,I/D,31,9.8
Girton Grammar School,,BENDIGO,44,8,Y,,,186,16,80,100,4,5,80,I/D,31,9.4
Glen Eira College,,CAULFIELD EAST,50,25,,,,159,63,79,98,8,8,86,I/D,31,6.5
Good News Lutheran College,,TARNEIT,36,13,,,,132,23,99,99,-,4,97,100,31,7.4
Haileybury Rendall School,,BERRIMAH,36,11,Y,,,106,39,55,98,5,< 4,80,-,31,11.0
Islamic College of Melbourne,,TARNEIT,21,10,,Y,,153,227,100,100,-,-,99,-,31,12.7
Kambrya College,,BERWICK,63,37,Y,,,355,291,66,99,65,7,85,I/D,31,5.6
Loreto College,,BALLARAT,52,22,,,,239,69,72,100,26,< 4,95,I/D,31,6.8
Maranatha Christian School,,ENDEAVOUR HILLS,41,16,,,,103,34,70,100,11,< 4,94,-,31,7.7
Marcellin College,,BULLEEN,48,18,Y,,,302,157,82,100,21,6,97,100,31,5.1
Mater Christi College,,BELGRAVE,49,25,Y,,,160,112,73,100,14,< 4,98,I/D,31,7.4
